event_id,event_name,date,location,fight_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_name,r_id,r_kd,r_sig_str_landed,r_sig_str_atmpted,r_sig_str_acc,r_total_str_landed,r_total_str_atmpted,r_total_str_acc,r_td_landed,r_td_atmpted,r_td_acc,r_sub_att,r_ctrl,r_head_landed,r_head_atmpted,r_head_acc,r_body_landed,r_body_atmpted,r_body_acc,r_leg_landed,r_leg_atmpted,r_leg_acc,r_dist_landed,r_dist_atmpted,r_dist_acc,r_clinch_landed,r_clinch_atmpted,r_clinch_acc,r_ground_landed,r_ground_atmpted,r_ground_acc,r_landed_head_per,r_landed_body_per,r_landed_leg_per,r_landed_dist_per,r_landed_clinch_per,r_landed_ground_per,r_nick_name,r_wins,r_losses,r_draws,r_height,r_weight,r_reach,r_stance,r_dob,r_splm,r_str_acc,r_sapm,r_str_def,r_td_avg,r_td_avg_acc,r_td_def,r_sub_avg,b_name,b_id,b_kd,b_sig_str_landed,b_sig_str_atmpted,b_sig_str_acc,b_total_str_landed,b_total_str_atmpted,b_total_str_acc,b_td_landed,b_td_atmpted,b_td_acc,b_sub_att,b_ctrl,b_head_landed,b_head_atmpted,b_head_acc,b_body_landed,b_body_atmpted,b_body_acc,b_leg_landed,b_leg_atmpted,b_leg_acc,b_dist_landed,b_dist_atmpted,b_dist_acc,b_clinch_landed,b_clinch_atmpted,b_clinch_acc,b_ground_landed,b_ground_atmpted,b_ground_acc,b_landed_head_per,b_landed_body_per,b_landed_leg_per,b_landed_dist_per,b_landed_clinch_per,b_landed_ground_per,b_nick_name,b_wins,b_losses,b_draws,b_height,b_weight,b_reach,b_stance,b_dob,b_splm,b_str_acc,b_sapm,b_str_def,b_td_avg,b_td_avg_acc,b_td_def,b_sub_avg,winner,winner_id,r_mmr_pre,b_mmr_pre,r_mu_pre,r_sigma_pre,b_mu_pre,b_sigma_pre
da6dfd09cca1d705,UFC 28: High Stakes,2000-11-17,"Atlantic City, New Jersey, USA",10cca6f437922b6c,heavyweight,1,KO/TKO,3,253.0,5.0,John McCarthy,Randy Couture,0aa92558424ced9e,0.0,28.0,41.0,68.0,71.0,85.0,84.0,1.0,1.0,100.0,1.0,177.0,17.0,29.0,59.0,8.0,9.0,89.0,3.0,3.0,100.0,0.0,5.0,0.0,14.0,16.0,88.0,14.0,20.0,70.0,60.0,28.0,10.0,0.0,50.0,50.0,The Natural,19.0,11.0,0.0,185.42,92.99,190.5,Orthodox,1963/06/22,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5,Kevin Randleman,6859f67468ba8489,0.0,15.0,19.0,78.0,47.0,51.0,92.0,2.0,2.0,100.0,1.0,531.0,8.0,12.0,67.0,6.0,6.0,100.0,1.0,1.0,100.0,3.0,7.0,43.0,6.0,6.0,100.0,6.0,6.0,100.0,53.0,40.0,6.0,20.0,40.0,40.0,The Monster,17.0,16.0,0.0,177.8,92.99,,Orthodox,1971/08/10,1.26,54.0,1.12,57.0,2.0,56.0,30.0,0.8,Randy Couture,0aa92558424ced9e,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
da6dfd09cca1d705,UFC 28: High Stakes,2000-11-17,"Atlantic City, New Jersey, USA",40d31c37e00d6d0b,heavyweight,0,Decision - Majority,3,300.0,3.0,John McCarthy,Renato Sobral,d468288756ae3982,0.0,7.0,17.0,41.0,68.0,89.0,76.0,4.0,5.0,80.0,2.0,708.0,4.0,13.0,31.0,1.0,1.0,100.0,2.0,3.0,67.0,4.0,12.0,33.0,0.0,0.0,,3.0,5.0,60.0,57.0,14.0,28.0,57.0,0.0,42.0,Babalu,37.0,11.0,0.0,185.42,92.99,190.5,Orthodox,1975/09/07,2.23,45.0,1.53,57.0,2.48,42.0,65.0,2.6,Maurice Smith,33e33d51f289d2a1,0.0,5.0,12.0,41.0,60.0,67.0,90.0,0.0,0.0,,0.0,0.0,0.0,7.0,0.0,1.0,1.0,100.0,4.0,4.0,100.0,5.0,12.0,42.0,0.0,0.0,,0.0,0.0,,0.0,20.0,80.0,100.0,0.0,0.0,,12.0,14.0,0.0,187.96,100.24,,Orthodox,1961/12/13,0.41,46.0,0.47,60.0,0.89,50.0,20.0,0.9,Renato Sobral,d468288756ae3982,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
da6dfd09cca1d705,UFC 28: High Stakes,2000-11-17,"Atlantic City, New Jersey, USA",4aef975838bc19ec,welterweight,0,Decision - Unanimous,2,300.0,2.0,Mario Yamasaki,Ben Earwood,ee457ef1e1c326c1,0.0,5.0,9.0,55.0,64.0,71.0,90.0,2.0,2.0,100.0,0.0,587.0,5.0,9.0,56.0,0.0,0.0,,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,,4.0,8.0,50.0,100.0,0.0,0.0,20.0,0.0,80.0,,12.0,3.0,0.0,172.72,77.11,,Orthodox,,0.5,55.0,0.2,33.0,3.0,100.0,0.0,0.0,Chris Lytle,91acd6910b802a9e,0.0,2.0,3.0,66.0,29.0,31.0,94.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,,2.0,3.0,67.0,0.0,0.0,,0.0,0.0,,0.0,100.0,0.0,100.0,0.0,0.0,Lights Out,31.0,18.0,5.0,180.34,77.11,172.72,Orthodox,1974/08/18,3.76,45.0,3.03,58.0,0.7,55.0,55.0,2.4,Ben Earwood,ee457ef1e1c326c1,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
da6dfd09cca1d705,UFC 28: High Stakes,2000-11-17,"Atlantic City, New Jersey, USA",91cef206019c119e,heavyweight,0,Submission,1,55.0,3.0,John McCarthy,Andrei Arlovski,3738e68d2261e60f,0.0,2.0,4.0,50.0,2.0,4.0,50.0,1.0,1.0,100.0,2.0,13.0,1.0,3.0,33.0,0.0,0.0,,1.0,1.0,100.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,,50.0,0.0,50.0,100.0,0.0,0.0,The Pitbull,34.0,24.0,0.0,190.5,108.86,195.58,Orthodox,1979/02/04,3.82,45.0,3.22,57.0,0.37,35.0,76.0,0.2,Aaron Brink,cf1a88371c8cb690,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,26.0,26.0,0.0,190.5,92.99,,Orthodox,1974/11/12,3.49,42.0,5.71,57.0,0.0,0.0,0.0,0.0,Andrei Arlovski,3738e68d2261e60f,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
da6dfd09cca1d705,UFC 28: High Stakes,2000-11-17,"Atlantic City, New Jersey, USA",b85ce7371fb18305,middleweight,0,Decision - Unanimous,2,300.0,2.0,Mario Yamasaki,Mark Hughes,d62bb4d84a7267ba,0.0,9.0,19.0,47.0,68.0,78.0,87.0,2.0,4.0,50.0,3.0,567.0,7.0,17.0,41.0,2.0,2.0,100.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,100.0,8.0,17.0,47.0,77.0,22.0,0.0,0.0,11.0,88.0,,6.0,2.0,0.0,175.26,92.99,,Southpaw,1973/10/13,0.9,47.0,0.4,42.0,3.0,50.0,0.0,4.5,Alex Stiebling,df5a77121ba84a5d,0.0,4.0,7.0,57.0,38.0,42.0,90.0,0.0,0.0,,1.0,0.0,3.0,5.0,60.0,1.0,2.0,50.0,0.0,0.0,,0.0,2.0,0.0,1.0,2.0,50.0,3.0,3.0,100.0,75.0,25.0,0.0,0.0,25.0,75.0,The Brazilian Killa,19.0,11.0,1.0,187.96,92.99,,Southpaw,,1.77,42.0,1.45,52.0,0.35,66.0,66.0,0.7,Mark Hughes,d62bb4d84a7267ba,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
da6dfd09cca1d705,UFC 28: High Stakes,2000-11-17,"Atlantic City, New Jersey, USA",be8e34d585be9dc7,lightweight,0,KO/TKO,1,15.0,3.0,Mario Yamasaki,Jens Pulver,44260175069b6276,1.0,1.0,3.0,33.0,1.0,3.0,33.0,0.0,0.0,,0.0,0.0,1.0,3.0,33.0,0.0,0.0,,0.0,0.0,,1.0,3.0,33.0,0.0,0.0,,0.0,0.0,,100.0,0.0,0.0,100.0,0.0,0.0,Little Evil,27.0,19.0,1.0,170.18,65.77,177.8,Southpaw,1974/12/06,2.12,37.0,3.13,56.0,0.22,33.0,63.0,0.3,John Lewis,4a01dc8376736ef5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,4.0,3.0,182.88,70.31,,Southpaw,,0.0,0.0,4.0,66.0,0.0,0.0,0.0,0.0,Jens Pulver,44260175069b6276,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
da6dfd09cca1d705,UFC 28: High Stakes,2000-11-17,"Atlantic City, New Jersey, USA",e4df2b73dff57d3a,super heavyweight,0,KO/TKO,2,274.0,3.0,John McCarthy,Josh Barnett,ad3f53c454cbbead,0.0,17.0,24.0,70.0,44.0,55.0,80.0,1.0,1.0,100.0,1.0,78.0,10.0,17.0,59.0,5.0,5.0,100.0,2.0,2.0,100.0,1.0,4.0,25.0,6.0,7.0,86.0,10.0,13.0,77.0,58.0,29.0,11.0,5.0,35.0,58.0,The Warmaster,35.0,8.0,0.0,190.5,113.4,198.12,Orthodox,1977/11/10,3.2,50.0,2.11,57.0,1.26,55.0,55.0,1.4,Gan McGee,d90b630e0561818b,0.0,10.0,21.0,47.0,24.0,35.0,69.0,2.0,5.0,40.0,0.0,443.0,9.0,20.0,45.0,0.0,0.0,,1.0,1.0,100.0,1.0,2.0,50.0,2.0,2.0,100.0,7.0,17.0,41.0,90.0,0.0,10.0,10.0,20.0,70.0,The Giant,13.0,5.0,0.0,208.28,120.2,,Orthodox,1976/11/20,2.2,29.0,2.31,59.0,0.65,25.0,83.0,0.0,Josh Barnett,ad3f53c454cbbead,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
08ae5cd9aef7ddd3,UFC 29: Defense of the Belts,2000-12-16,"Tokyo, Japan",019eca4a900ed793,middleweight,0,KO/TKO,1,298.0,3.0,Mario Yamasaki,Evan Tanner,8f2d9ee27f206f1f,0.0,32.0,40.0,80.0,47.0,55.0,85.0,1.0,1.0,100.0,0.0,252.0,19.0,26.0,73.0,11.0,12.0,92.0,2.0,2.0,100.0,2.0,2.0,100.0,5.0,7.0,71.0,25.0,31.0,81.0,59.0,34.0,6.0,6.0,15.0,78.0,,32.0,8.0,0.0,182.88,83.91,187.96,Orthodox,1971/02/11,3.05,59.0,2.64,56.0,2.55,43.0,25.0,1.3,Lance Gibson,63eedfcc73071d41,0.0,6.0,8.0,75.0,18.0,21.0,86.0,0.0,0.0,,0.0,0.0,6.0,8.0,75.0,0.0,0.0,,0.0,0.0,,1.0,1.0,100.0,4.0,5.0,80.0,1.0,2.0,50.0,100.0,0.0,0.0,16.0,66.0,16.0,Fearless,4.0,5.0,0.0,175.26,83.91,,Orthodox,1970/11/20,1.21,75.0,6.44,20.0,0.0,0.0,0.0,0.0,Evan Tanner,8f2d9ee27f206f1f,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
08ae5cd9aef7ddd3,UFC 29: Defense of the Belts,2000-12-16,"Tokyo, Japan",2783ccf179321171,light heavyweight,1,Submission,1,112.0,5.0,John McCarthy,Tito Ortiz,2f732dd9210d301f,0.0,16.0,22.0,72.0,31.0,40.0,78.0,2.0,2.0,100.0,2.0,94.0,16.0,22.0,73.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,16.0,21.0,76.0,100.0,0.0,0.0,0.0,0.0,100.0,The People's Champ,19.0,12.0,1.0,190.5,92.99,187.96,Orthodox,1975/01/23,2.59,46.0,2.88,60.0,2.47,35.0,54.0,0.6,Yuki Kondo,1fe7adb23b3eedfb,1.0,2.0,4.0,50.0,2.0,4.0,50.0,0.0,0.0,,0.0,1.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,,2.0,4.0,50.0,0.0,0.0,,0.0,0.0,,50.0,50.0,0.0,100.0,0.0,0.0,,60.0,33.0,9.0,180.34,83.01,,Southpaw,1975/07/17,1.14,42.0,2.57,51.0,0.76,41.0,37.0,0.5,Tito Ortiz,2f732dd9210d301f,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
08ae5cd9aef7ddd3,UFC 29: Defense of the Belts,2000-12-16,"Tokyo, Japan",3c49bf20e4442a81,welterweight,0,Submission,1,20.0,3.0,Mario Yamasaki,Dennis Hallman,8a8a84b743ae7699,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,33.0,34.0,33.0,33.0,34.0,33.0,Superman,53.0,20.0,2.0,175.26,70.31,182.88,Orthodox,1975/12/02,1.12,44.0,1.96,43.0,1.79,30.0,25.0,2.1,Matt Hughes,621a6c59f88a44fe,0.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,11.0,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,1.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,,45.0,9.0,0.0,175.26,77.11,185.42,Switch,1973/10/13,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2,Dennis Hallman,8a8a84b743ae7699,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
