date,fighter_a,fighter_b,odds_a,odds_b
2010-03-21,Eric Schafer,Jason Brilz,140.0,-160.0
2010-03-21,Brandon Vera,Jon Jones,215.0,-235.0
2010-03-21,Junior Dos Santos,Gabriel Gonzaga,-250.0,230.0
2010-03-21,Cheick Kongo,Paul Buentello,-345.0,315.0
2010-03-21,Alessio Sakara,James Irvin,-120.0,100.0
2010-03-21,Mike Pierce,Julio Paulino,-420.0,335.0
2010-03-21,Eliot Marshall,Vladimir Matyushenko,145.0,-165.0
2010-03-21,Duane Ludwig,Darren Elkins,-155.0,135.0
2010-03-21,John Howard,Daniel Roberts,-210.0,175.0
2010-03-21,Brendan Schaub,Chase Gormley,-260.0,220.0
2010-03-21,Clay Guida,Shannon Gugerty,-420.0,335.0
2010-03-27,Georges St-Pierre,Dan Hardy,-650.0,550.0
2010-03-27,Frank Mir,Shane Carwin,-150.0,140.0
2010-03-27,Kurt Pellegrino,Fabricio Camoes,-210.0,190.0
2010-03-27,Ben Saunders,Jon Fitch,295.0,-325.0
2010-03-27,Jim Miller,Mark Bocek,-320.0,290.0
2010-03-27,Nate Diaz,Rory Markham,-235.0,195.0
2010-03-27,Ricardo Almeida,Matt Brown,-185.0,160.0
2010-03-27,Rousimar Palhares,Tomasz Drwal,-220.0,180.0
2010-03-27,Rodney Wallace,Jared Hamman,-160.0,140.0
2010-03-27,Matthew Riddle,Greg Soto,-230.0,190.0
2010-03-31,Kenny Florian,Takanori Gomi,-360.0,300.0
2010-03-31,Roy Nelson,Stefan Struve,-350.0,290.0
2010-03-31,Nate Quarry,Jorge Rivera,-230.0,190.0
2010-03-31,Ross Pearson,Dennis Siver,-220.0,180.0
2010-03-31,Andre Winner,Rafaello Oliveira,-190.0,165.0
2010-03-31,Charlie Brenneman,Jason High,173.0,-205.0
2010-03-31,Rob Emerson,Nik Lentz,130.0,-150.0
2010-03-31,Caol Uno,Gleison Tibau,270.0,-330.0
2010-03-31,Yushin Okami,Lucio Linhares,-650.0,475.0
2010-03-31,Gerald Harris,Mario Miranda,-155.0,135.0
2010-03-31,Jacob Volkmann,Ronys Torres,190.0,-230.0
2010-04-10,Matt Hughes,Renzo Gracie,-380.0,340.0
2010-04-10,Anderson Silva,Demian Maia,-675.0,550.0
2010-04-10,BJ Penn,Frankie Edgar,-780.0,620.0
2010-04-10,Terry Etim,Rafael Dos Anjos,-135.0,125.0
2010-04-10,Jon Madsen,Mostapha Al-Turk,-245.0,205.0
2010-04-10,Alexander Gustafsson,Phil Davis,350.0,-440.0
2010-04-10,Nick Osipczak,Rick Story,145.0,-165.0
2010-04-10,DaMarques Johnson,Brad Blackburn,140.0,-160.0
2010-04-10,Paul Kelly,Matt Veach,220.0,-260.0
2010-04-10,Kendall Grove,Mark Munoz,160.0,-170.0
2010-05-08,Lyoto Machida,Mauricio Rua,-190.0,175.0
2010-05-08,Josh Koscheck,Paul Daley,-250.0,230.0
2010-05-08,Sam Stout,Jeremy Stephens,-190.0,175.0
2010-05-08,Kevin Ferguson,Matt Mitrione,-103.0,-107.0
2010-05-08,Patrick Cote,Alan Belcher,107.0,-117.0
2010-05-08,Tom Lawlor,Joe Doerksen,-600.0,450.0
2010-05-08,TJ Grant,Johny Hendricks,325.0,-400.0
2010-05-08,Joey Beltran,Tim Hague,190.0,-230.0
2010-05-08,Yoshiyuki Yoshida,Mike Guymon,-255.0,215.0
2010-05-08,Jason MacDonald,John Salter,-175.0,155.0
2010-05-08,Marcus Davis,Jonathan Goulet,-440.0,350.0
