year,n,accuracy,auc,brier
2015,464,0.6293103448275862,0.713909168483929,0.22318975417451004
2016,483,0.6211180124223602,0.6555677824713358,0.22580458816580734
2017,446,0.6345291479820628,0.6688660801564028,0.22939569391756717
2018,469,0.605543710021322,0.6231825672953673,0.23897111974526086
2019,506,0.6027667984189723,0.6145456284980786,0.23756101247947958
2020,444,0.6193693693693694,0.6448385922070132,0.22463872862493264
2021,497,0.5835010060362174,0.6001287936329711,0.24008884316668289
2022,506,0.6205533596837944,0.6606310679611651,0.22259949825277803
2023,504,0.6190476190476191,0.645801183127572,0.2297406792480598
2024,513,0.5964912280701754,0.6587782058337919,0.2318307284766667
2025,513,0.6179337231968811,0.6688827331486612,0.2300972104522873
2026,341,0.6510263929618768,0.7102126176368072,0.21747073503341213
