feature,auc
same_cluster,0.5
striking_trajectory_diff,0.49975247524752475
accuracy_trajectory_diff,0.5002475247524752
trajectory_diff,0.5002475247524752
ko_rate_diff,0.499239353114878
data_sparsity_diff,0.49917319324811743
finish_rate_diff,0.5023588291491687
stance_mismatch,0.497585803471988
sub_rate_diff,0.502657123297469
wc_move_diff,0.49630424342743873
sub_def_diff,0.49555885929150195
is_5rnd,0.50681472171985
is_heavyweight,0.5095027536809409
opp_quality_diff,0.49003336092123145
cardio_diff,0.48979420194341416
sub_diff,0.5103036329174713
is_womens,0.48908668730650157
mu_sum,0.48885672429472043
base_prob,0.512251261890895
mmr_diff,0.512251261890895
southpaw_diff,0.5131734767904034
stance_interaction,0.5131734767904034
archetype_clash,0.5132381039961581
is_title,0.5148254299114122
prime_wc_diff,0.5208556207787962
consistency_diff,0.47720377494405786
height_diff,0.5285333583667963
archetype_matchup,0.5291090641571896
opp_history_known,0.46967195945600754
ring_rust_diff,0.5317059027884212
skill_conservative_diff,0.5322144269380499
high_pace,0.4611038735452493
ko_vulnerability_diff,0.4607955532395345
career_damage_diff,0.4582363925247014
td_avg_L3_diff,0.5432141433957637
bayesian_prob,0.5446315993828484
mu_diff_z,0.5446315993828486
mu_diff,0.5464155529330023
recent_form_diff,0.5485242390338105
combined_uncertainty,0.552176889515577
been_finished_diff,0.4455071319825481
str_acc_L3_diff,0.5596822666012732
mom_quality_diff,0.5608917277176634
td_off_diff,0.5614321823049178
sapm_diff,0.43241022438157134
td_acc_diff,0.5679952921762765
exp_diff,0.5751808539987125
absorption_eff_diff,0.5792040891395641
def_diff,0.5807379635022327
combined_pace,0.41572989148760076
splm_L3_diff,0.5902986389970266
ape_index_diff,0.6020361401465223
acc_diff,0.6029232315646426
age_diff,0.3952717407963706
td_def_diff,0.6113152530423319
reach_diff,0.6176254738476944
power_diff,0.6193331775127977
off_striking_diff,0.6425136534551288
winrate_diff,0.6578791547885439
footwork_diff,0.6684703532272732
